Lat/Long
32° 57' S / 60° 33' W
31° 39' S / 60° 42' W
54° 49' S / 68° 18' W
12° 31' N / 70° 2' W
7° 56' S / 14° 25' W
34° 51' S / 138° 30' E
27° 27' S / 153° 4' E
16° 56' S / 145° 47' E
12° 28' S / 130° 50' E
41° 11' S / 146° 22' E
32° 3' S / 115° 44' E
38° 9' S / 144° 22' E
42° 53' S / 147° 20' E
21° 6' S / 149° 14' E
37° 50' S / 144° 58' E
33° 55' S / 151° 12' E
19° 15' S / 146° 50' E
40° 20' N / 49° 51' E
25° 00' N / 78° 46' W
25° 5' N / 77° 20' W
26° 12' N / 50° 37' E
26° 9' N / 50° 40' E
22° 19' N / 91° 48' E
22° 29' N / 89° 35' E
13° 6' N / 59° 38' W
51° 14' N / 4° 23' E
50° 52' N / 4° 21' E
51° 2' N / 3° 44' E
50° 40' N / 5° 34' E
51° 20' N / 3° 13' E
17° 29' N / 88° 11' W
6° 20' N / 2° 32' E
32° 17' N / 64° 47' W
32° 22' N / 64° 42' W
1° 28' S / 48° 29' W
3° 41' S / 38° 33' W
28° 13' S / 48° 38' W
3° 8' S / 60° 0' W
25° 30' S / 48° 30' W
30° 5' S / 51° 15' W
8° 4' S / 34° 52' W
22° 54' S / 43° 12' W
32° 3' S / 52° 5' W
13° 1' S / 38° 35' W
23° 56' S / 46° 19' W
20° 19' S / 40° 17' W
4° 38' N / 114° 12' E
5° 1' N / 115° 4' E
43° 12' N / 27° 57' E
10° 38' N / 103° 30' E
11° 35' N / 104° 55' E
4° 3' N / 9° 42' E
2° 56' N / 9° 56' E
4° 4' N / 9° 24' E
"49° 14' 0"" N / 124° 48' 0"" W"
46° 24' N / 72° 23' W
58° 47' N / 94° 12' W
49° 21' N / 122° 54' E
44° 39' N / 63° 34' W
43° 17' N / 79° 50' W
44° 39' N / 63° 34' W
45° 30' N / 73° 35' W
"49° 10' 10"" N / 123° 55' 55"" W"
"48° 24' 3"" N / 70° 49' 57"" W"
50° 11' N / 66° 23' W
47° 34' N / 52° 42' W
46° 9' N / 60° 12' W
48° 25' N / 89° 13' W
43° 38' N / 79° 23' W
46° 22' N / 72° 34' W
49° 17' N / 123° 7' W
42° 19' N / 83° 4' W
28° 5' N / 15° 27' W
28° 28' N / 16° 14' W
16° 53' N / 25° 0' W
19° 18' N / 81° 23' W
23° 39' S / 70° 25' W
18° 28' S / 70° 20' W
26° 21' S / 70° 38' W
20° 12' S / 70° 9' W
41° 28' S / 72° 57' W
53° 10' S / 70° 54' W
33° 35' S / 71° 37' W
36° 44' S / 73° 9' W
36° 41' S / 73° 6' W
33° 2' S / 71° 38' W
38° 55' N / 121° 40' E
26° 3' N / 119° 18' E
23° 6' N / 113° 14' E
20° 1' N / 110° 16' E
34° 44' N / 119° 27' E
